ID,Marital status,Gender, Income ,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age bracktes,Purchased Bike
12274,Single,Male," $10,000 ",2,High School,Manual,Yes,0,0-1 Miles,Europe,35,Middle aged,No
20236,Single,Male," $60,000 ",3,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,Middle aged,Yes
24149,Maried,Male," $10,000 ",2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,Middle aged,No
26139,Single,Male," $60,000 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,Middle aged,No
18491,Single,Female," $70,000 ",2,High School,Professional,Yes,2,5-10 Miles,Pacific,49,Middle aged,Yes
22707,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,Adolescent,No
20430,Maried,Male," $70,000 ",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle aged,Yes
27494,Single,Female," $40,000 ",2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53,Middle aged,Yes
26829,Maried,Female," $40,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle aged,Yes
28395,Single,Male," $40,000 ",0,Bachelors,Professional,No,0,0-1 Miles,Europe,39,Middle aged,Yes
21006,Single,Female," $30,000 ",1,Partial College,Manual,No,0,0-1 Miles,Europe,46,Middle aged,Yes
14682,Single,Female," $70,000 ",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,Middle aged,No
17650,Single,Female," $40,000 ",2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,Middle aged,No
29191,Single,Female," $1,30,000 ",1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,Middle aged,Yes
15030,Maried,Male," $20,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,Adolescent,Yes
24140,Single,Male," $10,000 ",0,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30,Adolescent,Yes
22496,Maried,Female," $30,000 ",1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42,Middle aged,No
24065,Single,Female," $20,000 ",0,High School,Manual,Yes,0,0-1 Miles,Europe,40,Middle aged,Yes
19914,Maried,Male," $80,000 ",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,Old,No
12871,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,Adolescent,No
22988,Maried,Female," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Old,Yes
15922,Maried,Male," $1,50,000 ",2,High School,Professional,Yes,4,0-1 Miles,Europe,48,Middle aged,No
12344,Single,Female," $80,000 ",0,Bachelors,Professional,No,3,More than 10 Miles,Pacific,31,Middle aged,No
23627,Single,Female," $1,00,000 ",3,Partial College,Management,No,4,5-10 Miles,Europe,56,Old,No
27775,Single,Female," $40,000 ",0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Middle aged,Yes
29301,Maried,Male," $80,000 ",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,Middle aged,No
12716,Single,Male," $30,000 ",0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,Middle aged,No
12472,Maried,Male," $30,000 ",1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,Middle aged,No
20970,Single,Male," $10,000 ",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Middle aged,Yes
26818,Single,Male," $10,000 ",3,High School,Manual,Yes,1,0-1 Miles,Europe,39,Middle aged,Yes
12993,Maried,Male," $60,000 ",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Middle aged,No
14192,Maried,Male," $90,000 ",4,High School,Management,Yes,3,5-10 Miles,Europe,56,Old,Yes
19477,Maried,Male," $40,000 ",0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,Middle aged,Yes
26796,Single,Male," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Old,Yes
21094,Single,Female," $30,000 ",2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,Middle aged,No
12234,Maried,Male," $10,000 ",2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,Middle aged,No
28683,Single,Female," $10,000 ",1,High School,Manual,No,1,5-10 Miles,Europe,35,Middle aged,Yes
17994,Single,Male," $20,000 ",2,High School,Manual,Yes,2,0-1 Miles,Europe,42,Middle aged,No
24273,Maried,Female," $20,000 ",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Old,Yes
26547,Single,Female," $30,000 ",2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,Old,Yes
22500,Single,Male," $40,000 ",0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Middle aged,Yes
23993,Single,Female," $10,000 ",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolescent,Yes
14832,Maried,Male," $40,000 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle aged,Yes
16614,Maried,Female," $80,000 ",0,Bachelors,Professional,Yes,3,More than 10 Miles,Pacific,32,Middle aged,No
20877,Single,Male," $30,000 ",1,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37,Middle aged,Yes
20729,Maried,Female," $40,000 ",2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,Middle aged,No
22464,Maried,Male," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle aged,Yes
19475,Maried,Female," $40,000 ",0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Middle aged,Yes
19675,Maried,Male," $20,000 ",4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,Old,No
12728,Single,Male," $30,000 ",0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,Adolescent,No
26154,Maried,Male," $60,000 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,43,Middle aged,Yes
29117,Single,Male," $1,00,000 ",1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,Middle aged,No
17845,Single,Female," $20,000 ",0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,Middle aged,No
25058,Maried,Male," $1,00,000 ",1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,Middle aged,No
23426,Single,Male," $80,000 ",5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,Middle aged,No
14798,Single,Female," $10,000 ",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Middle aged,Yes
12664,Maried,Female," $1,30,000 ",5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,Old,No
23979,Single,Male," $10,000 ",2,Partial College,Manual,No,0,0-1 Miles,Europe,50,Middle aged,No
25605,Single,Female," $20,000 ",2,Partial College,Manual,No,1,0-1 Miles,Europe,54,Middle aged,Yes
20797,Maried,Female," $10,000 ",1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,Middle aged,No
21980,Single,Female," $60,000 ",1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,Middle aged,Yes
25460,Maried,Female," $20,000 ",2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Middle aged,Yes
29181,Single,Female," $60,000 ",2,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,Middle aged,Yes
24279,Single,Male," $40,000 ",2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52,Middle aged,No
22402,Maried,Male," $10,000 ",0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25,Adolescent,Yes
15465,Maried,Female," $10,000 ",0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,Adolescent,No
26757,Single,Male," $90,000 ",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Middle aged,Yes
14233,Single,Male," $1,00,000 ",0,High School,Management,Yes,3,More than 10 Miles,Pacific,35,Middle aged,No
14058,Single,Male," $70,000 ",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Middle aged,Yes
12273,Maried,Male," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle aged,No
17203,Maried,Female," $1,30,000 ",4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Old,Yes
18144,Maried,Female," $80,000 ",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,Old,No
23963,Maried,Male," $10,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,Middle aged,No
17907,Maried,Female," $10,000 ",0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,Adolescent,No
19442,Single,Male," $50,000 ",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37,Middle aged,Yes
17504,Single,Female," $80,000 ",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle aged,Yes
12253,Single,Female," $20,000 ",0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,Adolescent,Yes
27304,Single,Female," $1,10,000 ",2,Partial College,Professional,No,3,5-10 Miles,Europe,48,Middle aged,No
14191,Maried,Male," $1,60,000 ",4,Partial College,Professional,No,2,More than 10 Miles,Europe,55,Old,Yes
12212,Maried,Female," $10,000 ",0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Middle aged,Yes
25529,Single,Male," $10,000 ",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,Middle aged,No
22170,Maried,Female," $30,000 ",3,Partial College,Clerical,No,2,1-2 Miles,Pacific,55,Old,Yes
19445,Maried,Female," $10,000 ",2,High School,Manual,No,1,0-1 Miles,Europe,38,Middle aged,No
15265,Single,Male," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Old,Yes
28918,Maried,Female," $1,30,000 ",4,High School,Management,No,4,More than 10 Miles,Europe,58,Old,No
15799,Maried,Female," $90,000 ",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Middle aged,Yes
11047,Maried,Female," $30,000 ",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,Old,Yes
18151,Single,Male," $80,000 ",5,Partial College,Professional,No,2,More than 10 Miles,Europe,59,Old,No
20606,Maried,Female," $70,000 ",0,Bachelors,Professional,Yes,4,More than 10 Miles,Pacific,32,Middle aged,Yes
19482,Maried,Male," $30,000 ",1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44,Middle aged,Yes
16489,Maried,Male," $30,000 ",3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,Old,No
26944,Single,Male," $90,000 ",2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Middle aged,Yes
15682,Single,Female," $80,000 ",5,Bachelors,Management,Yes,2,More than 10 Miles,Europe,62,Old,No
26032,Maried,Female," $70,000 ",5,Bachelors,Professional,Yes,4,More than 10 Miles,Pacific,41,Middle aged,No
17843,Single,Female," $10,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Middle aged,No
25559,Single,Male," $20,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25,Adolescent,Yes
16209,Single,Female," $50,000 ",0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,Europe,36,Middle aged,No
11147,Maried,Male," $60,000 ",2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,Old,Yes
15214,Single,Female," $1,00,000 ",0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Middle aged,Yes
11453,Single,Male," $80,000 ",0,Bachelors,Professional,No,3,More than 10 Miles,Pacific,33,Middle aged,Yes
24584,Single,Male," $60,000 ",0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31,Middle aged,No
12585,Maried,Male," $10,000 ",1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Adolescent,Yes
18626,Single,Male," $40,000 ",2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,33,Middle aged,Yes
29298,Single,Female," $60,000 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Middle aged,Yes
24842,Single,Female," $90,000 ",3,High School,Professional,No,1,2-5 Miles,Europe,51,Middle aged,No
15657,Maried,Male," $30,000 ",3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Middle aged,Yes
11415,Single,Male," $90,000 ",5,Partial College,Professional,No,2,More than 10 Miles,Europe,62,Old,No
28729,Single,Female," $20,000 ",0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26,Adolescent,Yes
22633,Single,Female," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle aged,Yes
25649,Single,Female," $30,000 ",3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,Middle aged,Yes
14669,Maried,Female," $80,000 ",4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,Middle aged,No
19299,Maried,Female," $50,000 ",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Middle aged,Yes
20946,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,Adolescent,No
11451,Single,Male," $70,000 ",0,Bachelors,Professional,No,4,More than 10 Miles,Pacific,31,Middle aged,Yes
25553,Maried,Male," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Old,Yes
27951,Single,Male," $80,000 ",4,Partial College,Professional,No,2,2-5 Miles,Europe,54,Middle aged,Yes
25026,Maried,Male," $20,000 ",2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54,Middle aged,No
13673,Single,Female," $20,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,25,Adolescent,No
16043,Single,Male," $10,000 ",1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,Middle aged,No
22399,Single,Male," $10,000 ",0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Adolescent,Yes
27696,Maried,Male," $60,000 ",1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43,Middle aged,Yes
25313,Single,Male," $10,000 ",0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,Middle aged,No
13813,Maried,Female," $30,000 ",3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,Middle aged,No
18711,Single,Female," $70,000 ",5,Bachelors,Professional,Yes,4,More than 10 Miles,Pacific,39,Middle aged,No
19650,Maried,Female," $30,000 ",2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67,Old,No
14135,Maried,Male," $20,000 ",1,Partial College,Manual,Yes,0,1-2 Miles,Europe,35,Middle aged,No
12833,Single,Female," $20,000 ",3,High School,Manual,Yes,1,0-1 Miles,Europe,42,Middle aged,Yes
26849,Maried,Male," $10,000 ",3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,Middle aged,No
20962,Maried,Female," $20,000 ",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Middle aged,No
28915,Single,Male," $80,000 ",5,High School,Management,Yes,3,More than 10 Miles,Europe,57,Old,No
22830,Maried,Male," $1,20,000 ",4,Partial College,Management,Yes,3,More than 10 Miles,Europe,56,Old,No
14777,Maried,Female," $40,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle aged,Yes
12591,Maried,Female," $30,000 ",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Middle aged,No
24174,Maried,Male," $20,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,Adolescent,Yes
24611,Single,Male," $90,000 ",0,Bachelors,Professional,No,4,More than 10 Miles,Pacific,35,Middle aged,Yes
11340,Maried,Female," $10,000 ",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Old,Yes
25693,Single,Female," $30,000 ",5,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Middle aged,Yes
25555,Maried,Female," $10,000 ",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolescent,Yes
22006,Maried,Male," $70,000 ",5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,Middle aged,No
20060,Single,Female," $30,000 ",0,High School,Manual,No,1,2-5 Miles,Europe,34,Middle aged,Yes
17702,Maried,Male," $10,000 ",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Middle aged,No
12503,Single,Female," $30,000 ",3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,Adolescent,No
23908,Single,Male," $30,000 ",1,Bachelors,Clerical,No,1,0-1 Miles,Europe,39,Middle aged,Yes
22527,Single,Female," $20,000 ",0,High School,Manual,No,1,2-5 Miles,Europe,29,Adolescent,No
